집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20100801,011 ,0,1,00,1,26585,367,248,226,462,2004,29892,
20100801,011 ,0,2,00,1,18385,166,409,0,0,640,19600,
20100801,011 ,1,1,00,1,25924,445,170,241,426,1987,29193,
20100801,011 ,1,2,00,1,18562,168,438,0,0,704,19872,
20100801,053 ,0,1,00,1,13745,172,53,96,263,847,15176,
20100801,053 ,0,2,00,1,9880,40,608,0,0,329,10857,
20100801,053 ,1,1,00,1,12493,125,63,76,242,858,13857,
20100801,053 ,1,2,00,1,9133,51,578,0,0,295,10057,
20100801,056 ,0,1,00,1,512,4,2,1,0,21,540,
20100801,056 ,0,2,00,1,172,3,1,0,0,4,180,
20100801,056 ,1,1,00,1,451,4,6,1,8,15,485,
20100801,056 ,1,2,00,1,158,0,0,0,0,2,160,
20100801,061 ,0,1,00,1,31542,567,279,283,198,1819,34688,
20100801,061 ,0,2,00,1,30529,292,1096,0,0,840,32757,
20100801,061 ,1,1,00,1,28712,581,259,317,240,1621,31730,
20100801,061 ,1,2,00,1,26940,253,1160,0,0,759,29112,
20100801,062 ,0,1,00,1,49312,932,451,337,237,2721,53990,
20100801,062 ,0,2,00,1,35842,385,1003,0,0,1010,38240,
20100801,062 ,1,1,00,1,43136,830,418,379,212,2536,47511,
20100801,062 ,1,2,00,1,34077,346,1026,0,0,942,36391,
20100801,063 ,0,1,00,1,4454,54,18,23,26,251,4826,
20100801,063 ,0,2,00,1,3153,31,17,0,0,102,3303,
20100801,063 ,1,1,00,1,4359,66,17,21,17,261,4741,
20100801,063 ,1,2,00,1,3265,19,42,0,0,95,3421,
20100801,064 ,0,1,00,1,33819,669,235,207,395,2056,37381,
20100801,064 ,0,2,00,1,30129,232,1361,0,0,900,32622,
20100801,064 ,1,1,00,1,34270,589,195,183,382,2139,37758,
20100801,064 ,1,2,00,1,30450,248,1275,0,0,909,32882,
20100801,065 ,0,1,00,1,15090,171,50,144,68,775,16298,
20100801,065 ,0,2,00,1,16488,113,1804,1,0,342,18748,
20100801,065 ,1,1,00,1,16151,188,60,170,70,869,17508,
20100801,065 ,1,2,00,1,17842,93,1817,1,0,369,20122,
20100801,066 ,0,1,00,1,8615,145,31,74,45,448,9358,
20100801,066 ,0,2,00,1,7450,61,118,0,0,176,7805,
20100801,066 ,1,1,00,1,7662,147,80,43,42,413,8387,
20100801,066 ,1,2,00,1,6315,39,136,0,0,152,6642,
20100801,067 ,0,1,00,1,32395,530,216,180,280,2104,35705,
20100801,067 ,0,2,00,1,26502,192,619,0,0,760,28073,
20100801,067 ,1,1,00,1,30626,566,206,250,338,1950,33936,
20100801,067 ,1,2,00,1,25797,143,625,0,0,807,27372,
20100801,068 ,0,1,00,1,39162,657,229,290,518,2648,43504,
20100801,068 ,0,2,00,1,31973,175,623,0,0,1017,33788,
20100801,068 ,1,1,00,1,39369,620,270,252,599,2627,43737,
20100801,068 ,1,2,00,1,30567,172,684,0,0,973,32396,
20100801,069 ,0,1,00,1,781,2,0,1,0,40,824,
20100801,069 ,0,2,00,1,844,0,4,0,0,25,873,
20100801,069 ,1,1,00,1,1211,1,0,1,1,73,1287,
20100801,069 ,1,2,00,1,1263,1,0,0,0,30,1294,
20100801,074 ,0,1,10,1,1668,27,8,9,15,129,1856,
20100801,074 ,0,2,10,1,1683,8,13,0,0,53,1757,
