집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20140101,011 ,0,1,00,1,17732,214,195,197,179,1733,20250,
20140101,011 ,0,2,00,1,25052,302,347,0,0,1480,27181,
20140101,011 ,1,1,00,1,18109,176,210,236,174,1886,20791,
20140101,011 ,1,2,00,1,26061,305,389,0,0,1533,28288,
20140101,012 ,0,1,00,1,219,5,8,3,3,11,249,
20140101,012 ,0,2,00,1,255,1,5,0,0,6,267,
20140101,012 ,1,1,00,1,192,2,3,3,2,23,225,
20140101,012 ,1,2,00,1,212,1,6,0,0,5,224,
20140101,013 ,0,1,00,1,1562,16,13,19,11,76,1697,
20140101,013 ,0,2,00,1,1563,5,38,0,0,34,1640,
20140101,013 ,1,1,00,1,1593,17,13,6,16,84,1729,
20140101,013 ,1,2,00,1,1608,4,30,0,0,30,1672,
20140101,053 ,0,1,00,1,8109,68,52,66,104,759,9158,
20140101,053 ,0,2,00,1,12772,94,432,0,0,631,13929,
20140101,053 ,1,1,00,1,7553,68,54,76,100,702,8553,
20140101,053 ,1,2,00,1,12042,90,442,0,0,625,13199,
20140101,056 ,0,1,00,1,396,4,5,2,4,32,443,
20140101,056 ,0,2,00,1,258,2,0,0,0,6,266,
20140101,056 ,1,1,00,1,334,5,7,1,3,31,381,
20140101,056 ,1,2,00,1,259,5,0,0,0,3,267,
20140101,061 ,0,1,00,1,16966,180,519,189,143,1507,19504,
20140101,061 ,0,2,00,1,37618,494,731,0,0,1778,40621,
20140101,061 ,1,1,00,1,13745,279,506,228,174,1258,16190,
20140101,061 ,1,2,00,1,30260,438,750,0,0,1398,32846,
20140101,062 ,0,1,00,1,24123,523,996,352,150,2132,28276,
20140101,062 ,0,2,00,1,41335,642,525,0,0,1914,44416,
20140101,062 ,1,1,00,1,23200,459,972,477,181,2144,27433,
20140101,062 ,1,2,00,1,40357,561,562,0,0,1953,43433,
20140101,063 ,0,1,00,1,2114,40,48,21,18,187,2428,
20140101,063 ,0,2,00,1,4037,37,10,0,0,197,4281,
20140101,063 ,1,1,00,1,1731,29,37,42,16,172,2027,
20140101,063 ,1,2,00,1,3368,30,11,0,0,160,3569,
20140101,064 ,0,1,00,1,17720,218,238,164,151,1683,20174,
20140101,064 ,0,2,00,1,34965,375,1041,0,0,1728,38109,
20140101,064 ,1,1,00,1,19480,255,347,154,124,1779,22139,
20140101,064 ,1,2,00,1,37958,391,927,0,0,1885,41161,
20140101,065 ,0,1,00,1,10715,82,45,56,37,748,11683,
20140101,065 ,0,2,00,1,22714,136,1641,0,0,775,25266,
20140101,065 ,1,1,00,1,12655,105,44,74,40,824,13742,
20140101,065 ,1,2,00,1,26299,152,1663,0,0,885,28999,
20140101,066 ,0,1,00,1,4429,82,55,52,5,369,4992,
20140101,066 ,0,2,00,1,9014,80,84,0,0,362,9540,
20140101,066 ,1,1,00,1,3821,68,54,23,12,324,4302,
20140101,066 ,1,2,00,1,7531,74,80,0,0,335,8020,
20140101,067 ,0,1,00,1,18230,319,286,178,136,1702,20851,
20140101,067 ,0,2,00,1,33268,363,427,0,0,1701,35759,
20140101,067 ,1,1,00,1,17524,273,378,286,134,1657,20252,
20140101,067 ,1,2,00,1,32013,312,522,0,0,1578,34425,
20140101,068 ,0,1,00,1,24006,269,421,240,173,2315,27424,
20140101,068 ,0,2,00,1,41800,359,520,0,0,2096,44775,
20140101,068 ,1,1,00,1,24226,331,371,222,180,2369,27699,
20140101,068 ,1,2,00,1,40487,332,588,0,0,2031,43438,
20140101,069 ,0,1,00,1,483,2,0,1,0,38,524,
20140101,069 ,0,2,00,1,949,2,0,0,0,21,972,
20140101,069 ,1,1,00,1,677,2,0,0,1,47,727,
20140101,069 ,1,2,00,1,1379,2,0,0,0,36,1417,
20140101,074 ,0,1,10,1,1025,22,29,11,0,100,1187,
20140101,074 ,0,2,10,1,1930,22,2,0,0,114,2068,
