집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20130601,011 ,0,1,00,1,23571,853,572,868,1915,2637,30416,
20130601,011 ,0,2,00,1,36212,696,543,0,0,2356,39807,
20130601,011 ,1,1,00,1,24666,790,712,1006,1982,2680,31836,
20130601,011 ,1,2,00,1,37283,709,551,1,0,2436,40980,
20130601,012 ,0,1,00,1,227,3,1,2,6,23,262,
20130601,012 ,0,2,00,1,255,4,4,0,0,2,265,
20130601,012 ,1,1,00,1,172,4,0,2,6,15,199,
20130601,012 ,1,2,00,1,169,4,0,0,0,1,174,
20130601,013 ,0,1,00,1,1235,57,34,92,109,77,1604,
20130601,013 ,0,2,00,1,1016,11,96,0,0,23,1146,
20130601,013 ,1,1,00,1,1481,53,59,88,112,96,1889,
20130601,013 ,1,2,00,1,1249,14,109,0,0,22,1394,
20130601,053 ,0,1,00,1,11176,321,183,269,1003,1159,14111,
20130601,053 ,0,2,00,1,18502,258,618,0,0,1129,20507,
20130601,053 ,1,1,00,1,10547,280,249,260,614,1095,13045,
20130601,053 ,1,2,00,1,17425,248,665,0,0,1008,19346,
20130601,056 ,0,1,00,1,401,9,11,4,14,28,467,
20130601,056 ,0,2,00,1,305,6,4,0,0,8,323,
20130601,056 ,1,1,00,1,373,10,14,18,13,14,442,
20130601,056 ,1,2,00,1,256,11,4,0,0,9,280,
20130601,061 ,0,1,00,1,22520,990,1135,905,1055,1962,28567,
20130601,061 ,0,2,00,1,48138,1035,1276,0,0,2344,52793,
20130601,061 ,1,1,00,1,21733,1051,1008,984,1268,1930,27974,
20130601,061 ,1,2,00,1,48993,1001,1214,0,0,2322,53530,
20130601,062 ,0,1,00,1,35297,1518,1878,1201,1370,3050,44314,
20130601,062 ,0,2,00,1,59332,1238,993,0,0,2867,64430,
20130601,062 ,1,1,00,1,32629,1352,2035,1776,1418,2913,42123,
20130601,062 ,1,2,00,1,59357,1239,1020,0,0,2960,64576,
20130601,063 ,0,1,00,1,3536,155,115,188,210,292,4496,
20130601,063 ,0,2,00,1,6490,95,58,0,0,363,7006,
20130601,063 ,1,1,00,1,2864,167,61,168,232,277,3769,
20130601,063 ,1,2,00,1,5420,105,51,0,0,304,5880,
20130601,064 ,0,1,00,1,25425,1020,786,738,1245,2313,31527,
20130601,064 ,0,2,00,1,53732,1051,1622,1,0,2766,59172,
20130601,064 ,1,1,00,1,25594,1069,971,722,1180,2370,31906,
20130601,064 ,1,2,00,1,51534,1032,1447,1,0,2631,56645,
20130601,065 ,0,1,00,1,13941,328,194,299,208,1122,16092,
20130601,065 ,0,2,00,1,29936,377,2363,0,0,1184,33860,
20130601,065 ,1,1,00,1,16383,369,151,309,243,1199,18654,
20130601,065 ,1,2,00,1,33974,401,2382,0,0,1352,38109,
20130601,066 ,0,1,00,1,5359,224,122,96,178,526,6505,
20130601,066 ,0,2,00,1,10738,182,195,0,0,561,11676,
20130601,066 ,1,1,00,1,5975,191,120,74,169,536,7065,
20130601,066 ,1,2,00,1,11466,183,207,0,0,532,12388,
20130601,067 ,0,1,00,1,23185,999,788,649,682,2238,28541,
20130601,067 ,0,2,00,1,43597,768,889,0,0,2388,47642,
20130601,067 ,1,1,00,1,23198,854,957,850,1221,2290,29370,
20130601,067 ,1,2,00,1,44655,848,896,0,0,2452,48851,
20130601,068 ,0,1,00,1,29592,1298,1156,980,1491,3014,37531,
20130601,068 ,0,2,00,1,52365,995,882,0,0,2967,57209,
20130601,068 ,1,1,00,1,31350,1272,1041,964,1574,3207,39408,
20130601,068 ,1,2,00,1,56845,1032,1001,0,0,3198,62076,
20130601,069 ,0,1,00,1,530,5,3,0,0,46,584,
20130601,069 ,0,2,00,1,1007,6,2,0,0,40,1055,
20130601,069 ,1,1,00,1,936,3,1,0,0,80,1020,
20130601,069 ,1,2,00,1,1808,8,0,0,0,66,1882,
20130601,074 ,0,1,10,1,1439,62,55,83,225,110,1974,
20130601,074 ,0,2,10,1,2965,55,12,0,0,173,3205,
20130601,074 ,1,1,10,1,2243,92,28,97,201,183,2844,
20130601,074 ,1,2,10,1,3982,87,17,0,0,188,4274,
20130601,091 ,0,1,00,1,855,99,70,514,168,70,1776,
20130601,091 ,0,2,00,1,1227,35,3,1,1,63,1330,
20130601,091 ,1,1,00,1,909,116,99,569,168,84,1945,
20130601,091 ,1,2,00,1,1359,49,2,0,0,54,1464,
20130601,092 ,0,1,00,1,1610,91,55,50,126,179,2111,
20130601,092 ,0,2,00,1,2757,30,141,0,0,174,3102,
20130601,092 ,1,1,00,1,1297,67,36,53,140,149,1742,
20130601,092 ,1,2,00,1,2095,37,126,0,0,108,2366,
20130601,101 ,0,1,00,0,38387,1158,1232,827,535,993,43132,
20130601,101 ,0,2,00,0,62222,1330,8556,1,0,2378,74487,
20130601,101 ,1,1,00,0,33849,1368,1392,1459,877,2307,41252,
