집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20140301,011 ,0,1,00,1,20587,535,373,485,1209,2155,25344,
20140301,011 ,0,2,00,1,32521,493,406,0,0,2096,35516,
20140301,011 ,1,1,00,1,22344,552,502,630,1208,2407,27643,
20140301,011 ,1,2,00,1,35079,531,436,0,0,2240,38286,
20140301,012 ,0,1,00,1,223,9,11,4,6,16,269,
20140301,012 ,0,2,00,1,294,1,4,0,0,5,304,
20140301,012 ,1,1,00,1,192,3,0,6,9,21,231,
20140301,012 ,1,2,00,1,222,0,3,0,0,3,228,
20140301,013 ,0,1,00,1,961,25,34,10,92,50,1172,
20140301,013 ,0,2,00,1,936,8,18,0,0,15,977,
20140301,013 ,1,1,00,1,1046,38,27,10,121,65,1307,
20140301,013 ,1,2,00,1,1009,6,16,0,0,17,1048,
20140301,053 ,0,1,00,1,10335,193,136,163,872,1078,12777,
20140301,053 ,0,2,00,1,17805,196,481,0,0,985,19467,
20140301,053 ,1,1,00,1,9784,200,145,164,752,989,12034,
20140301,053 ,1,2,00,1,16935,180,515,0,0,972,18602,
20140301,056 ,0,1,00,1,361,8,5,4,6,20,404,
20140301,056 ,0,2,00,1,275,2,1,0,0,6,284,
20140301,056 ,1,1,00,1,306,11,8,6,10,11,352,
20140301,056 ,1,2,00,1,246,5,1,0,0,9,261,
20140301,061 ,0,1,00,1,20996,716,902,721,862,1901,26098,
20140301,061 ,0,2,00,1,46403,798,968,0,0,2239,50408,
20140301,061 ,1,1,00,1,19843,717,838,1287,1031,1806,25522,
20140301,061 ,1,2,00,1,46134,745,882,0,1,2260,50022,
20140301,062 ,0,1,00,1,33390,1095,1575,791,1190,2931,40972,
20140301,062 ,0,2,00,1,55573,975,609,0,0,2707,59864,
20140301,062 ,1,1,00,1,31901,1036,1508,1147,1121,2883,39596,
20140301,062 ,1,2,00,1,59571,1007,712,0,1,2902,64193,
20140301,063 ,0,1,00,1,3086,112,75,90,111,313,3787,
20140301,063 ,0,2,00,1,6097,71,46,0,0,305,6519,
20140301,063 ,1,1,00,1,2638,83,66,82,86,247,3202,
20140301,063 ,1,2,00,1,5173,58,25,0,0,283,5539,
20140301,064 ,0,1,00,1,23456,669,574,489,1037,2292,28517,
20140301,064 ,0,2,00,1,51161,694,1190,0,1,2539,55585,
20140301,064 ,1,1,00,1,24916,730,764,488,889,2320,30107,
20140301,064 ,1,2,00,1,51359,720,1089,0,0,2627,55795,
20140301,065 ,0,1,00,1,12970,255,129,163,192,958,14667,
20140301,065 ,0,2,00,1,29029,313,1775,0,0,1184,32301,
20140301,065 ,1,1,00,1,14902,277,113,231,299,1057,16879,
20140301,065 ,1,2,00,1,31312,302,1819,0,0,1242,34675,
20140301,066 ,0,1,00,1,4676,159,88,85,191,444,5643,
20140301,066 ,0,2,00,1,10095,115,125,1,0,525,10861,
20140301,066 ,1,1,00,1,5027,138,103,65,278,497,6108,
20140301,066 ,1,2,00,1,10677,116,118,0,0,506,11417,
20140301,067 ,0,1,00,1,22908,708,529,517,536,2170,27368,
20140301,067 ,0,2,00,1,43619,631,554,0,0,2220,47024,
20140301,067 ,1,1,00,1,22863,686,812,598,971,2215,28145,
20140301,067 ,1,2,00,1,45447,684,587,0,0,2256,48974,
20140301,068 ,0,1,00,1,28710,847,899,640,1049,2933,35078,
20140301,068 ,0,2,00,1,51987,693,658,0,0,2812,56150,
20140301,068 ,1,1,00,1,28899,879,838,620,1082,3007,35325,
20140301,068 ,1,2,00,1,55048,697,689,0,0,2909,59343,
20140301,069 ,0,1,00,1,537,3,2,0,0,39,581,
20140301,069 ,0,2,00,1,1155,5,1,1,0,40,1202,
20140301,069 ,1,1,00,1,723,2,0,1,1,48,775,
20140301,069 ,1,2,00,1,1617,10,0,0,0,63,1690,
20140301,074 ,0,1,10,1,1292,28,48,26,299,124,1817,
20140301,074 ,0,2,10,1,2756,21,3,0,0,161,2941,
20140301,074 ,1,1,10,1,1893,49,31,38,261,188,2460,
20140301,074 ,1,2,10,1,3610,47,9,0,0,233,3899,
20140301,091 ,0,1,00,1,647,44,44,261,105,61,1162,
20140301,091 ,0,2,00,1,933,33,0,0,0,49,1015,
20140301,091 ,1,1,00,1,632,64,66,414,138,55,1369,
20140301,091 ,1,2,00,1,958,27,1,0,0,46,1032,
20140301,092 ,0,1,00,1,1354,38,36,23,65,188,1704,
20140301,092 ,0,2,00,1,2434,27,124,0,0,143,2728,
20140301,092 ,1,1,00,1,1020,37,21,27,62,144,1311,
20140301,092 ,1,2,00,1,1743,21,115,0,0,93,1972,
20140301,101 ,0,1,00,0,38495,894,989,544,417,885,42224,
20140301,101 ,0,2,00,0,60939,1018,7439,2,0,2163,71561,
20140301,101 ,1,1,00,0,34770,994,1278,976,603,2390,41011,
20140301,101 ,1,2,00,0,56560,1309,7551,1,0,2148,67569,
20140301,102 ,0,1,00,0,11349,313,225,276,217,310,12690,
20140301,102 ,0,2,00,0,25823,263,915,0,0,1172,28173,
20140301,102 ,1,1,00,0,10264,271,249,243,201,883,12111,
20140301,102 ,1,2,00,0,22255,216,740,0,0,1104,24315,
20140301,103 ,0,1,00,0,13208,441,547,446,224,299,15165,
20140301,103 ,0,2,00,0,27457,717,1266,1,0,1230,30671,
20140301,103 ,1,1,00,0,12289,483,529,499,314,967,15081,
20140301,103 ,1,2,00,0,26696,659,1261,0,0,1165,29781,
20140301,104 ,0,1,00,0,261,9,19,21,80,9,399,
20140301,104 ,0,2,00,0,353,5,7,0,0,13,378,
20140301,104 ,1,1,00,0,328,14,11,17,55,33,458,
20140301,104 ,1,2,00,0,418,3,5,0,0,12,438,
20140301,105 ,0,1,00,0,1449,155,188,122,138,40,2092,
20140301,105 ,0,2,00,0,3577,179,24,0,0,143,3923,
20140301,105 ,1,1,00,0,1721,128,102,81,111,152,2295,
20140301,105 ,1,2,00,0,4366,116,27,0,0,176,4685,
20140301,106 ,0,1,00,0,6347,389,665,414,212,157,8184,
20140301,106 ,0,2,00,0,11197,483,481,0,0,560,12721,
20140301,106 ,1,1,00,0,7714,467,772,461,307,639,10360,
20140301,106 ,1,2,00,0,12812,463,481,0,0,656,14412,
20140301,107 ,0,1,00,0,5972,170,185,150,95,157,6729,
20140301,107 ,0,2,00,0,8312,150,506,0,0,401,9369,
20140301,107 ,1,1,00,0,5530,168,189,158,109,461,6615,
20140301,107 ,1,2,00,0,7818,161,512,0,0,384,8875,
20140301,108 ,0,1,00,0,11815,269,404,296,272,220,13276,
20140301,108 ,0,2,00,0,16938,223,920,0,0,619,18700,
20140301,108 ,1,1,00,0,10899,247,405,372,281,828,13032,
20140301,108 ,1,2,00,0,15170,224,918,0,0,585,16897,
20140301,109 ,0,1,00,0,1017,58,137,84,32,27,1355,
20140301,109 ,0,2,00,0,1284,32,9,1,0,54,1380,
