집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20140501,011 ,0,1,00,1,18602,693,374,709,972,2126,23476,
20140501,011 ,0,2,00,1,33733,842,501,1,2,2414,37493,
20140501,011 ,1,1,00,1,19035,790,859,771,1076,2222,24753,
20140501,011 ,1,2,00,1,35124,867,515,0,0,2542,39048,
20140501,012 ,0,1,00,1,237,9,6,4,13,32,301,
20140501,012 ,0,2,00,1,363,2,4,0,0,13,382,
20140501,012 ,1,1,00,1,204,2,5,6,5,29,251,
20140501,012 ,1,2,00,1,302,3,3,0,0,7,315,
20140501,013 ,0,1,00,1,894,47,53,38,93,64,1189,
20140501,013 ,0,2,00,1,967,22,24,0,0,24,1037,
20140501,013 ,1,1,00,1,1018,41,46,23,92,71,1291,
20140501,013 ,1,2,00,1,1096,21,33,0,0,35,1185,
20140501,053 ,0,1,00,1,8340,299,205,252,495,946,10537,
20140501,053 ,0,2,00,1,16448,324,541,0,0,1084,18397,
20140501,053 ,1,1,00,1,7840,282,276,224,444,915,9981,
20140501,053 ,1,2,00,1,15703,258,546,0,0,999,17506,
20140501,056 ,0,1,00,1,415,9,9,7,95,25,560,
20140501,056 ,0,2,00,1,328,5,11,0,0,10,354,
20140501,056 ,1,1,00,1,384,9,10,6,83,24,516,
20140501,056 ,1,2,00,1,304,12,4,0,0,10,330,
20140501,061 ,0,1,00,1,16658,1098,1428,849,717,1611,22361,
20140501,061 ,0,2,00,1,44503,1408,932,0,0,2368,49211,
20140501,061 ,1,1,00,1,15107,1065,1227,1138,841,1517,20895,
20140501,061 ,1,2,00,1,42685,1329,855,0,0,2248,47117,
20140501,062 ,0,1,00,1,26808,1693,2366,1406,1003,2682,35958,
20140501,062 ,0,2,00,1,55439,1736,793,0,0,2993,60961,
20140501,062 ,1,1,00,1,24138,1561,2003,1602,1101,2562,32967,
20140501,062 ,1,2,00,1,52864,1671,813,0,0,3012,58360,
20140501,063 ,0,1,00,1,2685,148,156,92,98,269,3448,
