집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20131201,011 ,0,1,00,1,19041,342,200,232,360,1960,22135,
20131201,011 ,0,2,00,1,27791,288,403,0,0,1664,30146,
20131201,011 ,1,1,00,1,19332,260,210,277,353,2087,22519,
20131201,011 ,1,2,00,1,29286,280,423,0,0,1764,31753,
20131201,012 ,0,1,00,1,232,3,4,4,1,20,264,
20131201,012 ,0,2,00,1,208,0,7,0,0,3,218,
20131201,012 ,1,1,00,1,216,2,4,9,1,14,246,
20131201,012 ,1,2,00,1,249,0,5,0,0,3,257,
20131201,013 ,0,1,00,1,1320,21,13,26,26,82,1488,
20131201,013 ,0,2,00,1,1233,15,33,0,0,32,1313,
20131201,013 ,1,1,00,1,1139,26,16,6,20,68,1275,
20131201,013 ,1,2,00,1,1061,10,27,0,0,33,1131,
20131201,053 ,0,1,00,1,8488,108,79,108,185,830,9798,
20131201,053 ,0,2,00,1,13665,97,474,0,0,791,15027,
20131201,053 ,1,1,00,1,7922,75,66,100,214,779,9156,
20131201,053 ,1,2,00,1,12744,90,469,0,0,715,14018,
20131201,056 ,0,1,00,1,391,12,9,4,8,24,448,
20131201,056 ,0,2,00,1,242,1,2,0,0,5,250,
20131201,056 ,1,1,00,1,357,6,12,0,6,22,403,
20131201,056 ,1,2,00,1,242,4,1,0,0,12,259,
20131201,061 ,0,1,00,1,18334,229,632,307,967,1612,22081,
20131201,061 ,0,2,00,1,40237,470,877,0,0,1889,43473,
20131201,061 ,1,1,00,1,15746,369,511,608,699,1425,19358,
20131201,061 ,1,2,00,1,33816,430,878,0,0,1641,36765,
20131201,062 ,0,1,00,1,26029,632,956,464,314,2386,30781,
20131201,062 ,0,2,00,1,44846,609,748,1,0,2165,48369,
20131201,062 ,1,1,00,1,26559,614,785,516,379,2417,31270,
20131201,062 ,1,2,00,1,47475,485,752,2,0,2137,50851,
20131201,063 ,0,1,00,1,2254,45,29,42,38,200,2608,
20131201,063 ,0,2,00,1,4376,38,25,0,0,220,4659,
20131201,063 ,1,1,00,1,2139,36,20,18,34,204,2451,
20131201,063 ,1,2,00,1,4015,36,15,0,0,190,4256,
20131201,064 ,0,1,00,1,19578,311,304,246,538,1839,22816,
20131201,064 ,0,2,00,1,39531,389,1142,0,0,1991,43053,
20131201,064 ,1,1,00,1,21364,330,470,209,577,1934,24884,
20131201,064 ,1,2,00,1,42535,380,1042,0,0,2122,46079,
20131201,065 ,0,1,00,1,10732,118,54,137,75,759,11875,
20131201,065 ,0,2,00,1,23578,155,1854,0,0,868,26455,
20131201,065 ,1,1,00,1,12633,128,60,154,61,914,13950,
20131201,065 ,1,2,00,1,26731,156,1853,0,0,983,29723,
20131201,066 ,0,1,00,1,4143,84,47,48,56,367,4745,
20131201,066 ,0,2,00,1,8541,82,100,0,0,392,9115,
20131201,066 ,1,1,00,1,3231,76,42,26,64,292,3731,
20131201,066 ,1,2,00,1,6400,68,90,0,0,319,6877,
20131201,067 ,0,1,00,1,19727,397,353,225,200,1817,22719,
20131201,067 ,0,2,00,1,36830,369,558,0,0,1877,39634,
