집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20130801,011 ,0,1,00,1,20719,1083,603,1021,1791,2459,27676,
20130801,011 ,0,2,00,1,35532,931,508,1,1,2518,39491,
20130801,011 ,1,1,00,1,20731,939,911,1092,1912,2559,28144,
20130801,011 ,1,2,00,1,35517,962,513,1,1,2605,39599,
20130801,012 ,0,1,00,1,369,5,7,0,7,27,415,
20130801,012 ,0,2,00,1,491,1,6,0,0,16,514,
20130801,012 ,1,1,00,1,255,4,6,3,5,12,285,
20130801,012 ,1,2,00,1,259,0,3,0,0,8,270,
20130801,013 ,0,1,00,1,1372,51,53,103,99,84,1762,
20130801,013 ,0,2,00,1,1354,17,10,0,0,39,1420,
20130801,013 ,1,1,00,1,1642,59,48,103,114,94,2060,
20130801,013 ,1,2,00,1,1717,20,12,0,0,38,1787,
20130801,053 ,0,1,00,1,10349,452,314,449,1175,1133,13872,
20130801,053 ,0,2,00,1,18528,367,639,0,0,1229,20763,
20130801,053 ,1,1,00,1,9194,402,345,348,646,1014,11949,
20130801,053 ,1,2,00,1,16630,318,575,0,0,1153,18676,
20130801,056 ,0,1,00,1,487,17,11,2,17,36,570,
20130801,056 ,0,2,00,1,412,8,4,0,0,11,435,
20130801,056 ,1,1,00,1,470,26,12,11,14,23,556,
20130801,056 ,1,2,00,1,365,16,6,0,0,10,397,
20130801,061 ,0,1,00,1,21653,1306,1425,1156,1203,2007,28750,
20130801,061 ,0,2,00,1,46861,1359,1159,3,4,2624,52010,
20130801,061 ,1,1,00,1,21204,1159,1190,1300,1386,1984,28223,
20130801,061 ,1,2,00,1,45521,1267,1019,2,3,2422,50234,
20130801,062 ,0,1,00,1,40298,1914,2310,1573,1372,3321,50788,
20130801,062 ,0,2,00,1,45323,1312,460,0,0,2299,49394,
20130801,062 ,1,1,00,1,29334,1580,2319,1984,1647,2879,39743,
20130801,062 ,1,2,00,1,54008,1595,835,1,1,3071,59511,
20130801,063 ,0,1,00,1,3722,247,172,184,158,361,4844,
20130801,063 ,0,2,00,1,7103,178,75,0,0,443,7799,
20130801,063 ,1,1,00,1,3477,246,117,141,167,334,4482,
20130801,063 ,1,2,00,1,6445,156,120,0,0,385,7106,
20130801,064 ,0,1,00,1,25066,1196,908,861,1524,2511,32066,
20130801,064 ,0,2,00,1,52291,1264,1599,1,0,2976,58131,
20130801,064 ,1,1,00,1,23346,1308,1169,819,1481,2518,30641,
20130801,064 ,1,2,00,1,50218,1226,1418,0,0,3052,55914,
20130801,065 ,0,1,00,1,12922,380,226,276,327,1172,15303,
20130801,065 ,0,2,00,1,33014,435,2858,1,2,1561,37871,
20130801,065 ,1,1,00,1,14212,442,198,334,344,1205,16735,
20130801,065 ,1,2,00,1,34101,479,2780,1,3,1641,39005,
20130801,066 ,0,1,00,1,5090,284,165,176,110,535,6360,
20130801,066 ,0,2,00,1,9748,266,116,0,0,621,10751,
20130801,066 ,1,1,00,1,7016,234,189,141,110,559,8249,
20130801,066 ,1,2,00,1,7823,152,111,0,0,412,8498,
20130801,067 ,0,1,00,1,24890,1237,880,948,781,2479,31215,
20130801,067 ,0,2,00,1,44779,1005,601,0,0,2555,48940,
20130801,067 ,1,1,00,1,19847,954,1119,1004,1310,2055,26289,
20130801,067 ,1,2,00,1,39844,1054,643,0,0,2410,43951,
20130801,068 ,0,1,00,1,27615,1382,1588,1212,1880,3046,36723,
