집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20131001,011 ,0,1,00,1,18641,1670,768,1096,2378,2528,27081,
20131001,011 ,0,2,00,1,40287,1286,653,0,0,3104,45330,
20131001,011 ,1,1,00,1,20517,1376,1243,1272,2468,2600,29476,
20131001,011 ,1,2,00,1,41226,1325,684,0,0,3154,46389,
20131001,012 ,0,1,00,1,200,11,10,5,9,23,258,
20131001,012 ,0,2,00,1,223,2,1,0,0,9,235,
20131001,012 ,1,1,00,1,174,5,2,6,8,24,219,
20131001,012 ,1,2,00,1,192,3,1,0,0,8,204,
20131001,013 ,0,1,00,1,838,70,83,59,153,56,1259,
20131001,013 ,0,2,00,1,731,22,52,0,0,31,836,
20131001,013 ,1,1,00,1,905,66,65,47,157,63,1303,
20131001,013 ,1,2,00,1,787,25,79,1,0,28,920,
20131001,053 ,0,1,00,1,8949,635,365,523,1449,1129,13050,
20131001,053 ,0,2,00,1,20210,542,678,0,0,1518,22948,
20131001,053 ,1,1,00,1,8218,570,442,430,1004,1030,11694,
20131001,053 ,1,2,00,1,18500,467,694,1,0,1381,21043,
20131001,056 ,0,1,00,1,375,31,11,13,48,29,507,
20131001,056 ,0,2,00,1,323,9,7,0,0,15,354,
20131001,056 ,1,1,00,1,315,23,18,14,55,18,443,
20131001,056 ,1,2,00,1,297,15,7,0,0,16,335,
20131001,061 ,0,1,00,1,16965,1737,1795,1740,1896,1899,26032,
20131001,061 ,0,2,00,1,48842,1827,1429,3,0,3105,55206,
20131001,061 ,1,1,00,1,15104,1672,1721,1924,2126,1681,24228,
20131001,061 ,1,2,00,1,45611,1846,1331,1,0,2875,51664,
20131001,062 ,0,1,00,1,28859,2648,3181,2101,1942,3045,41776,
20131001,062 ,0,2,00,1,51289,2206,853,1,1,3233,57583,
20131001,062 ,1,1,00,1,24145,2231,2931,2495,2247,2738,36787,
20131001,062 ,1,2,00,1,54298,2221,981,2,2,3496,61000,
20131001,063 ,0,1,00,1,2896,250,169,189,172,329,4005,
20131001,063 ,0,2,00,1,7028,195,54,0,0,537,7814,
20131001,063 ,1,1,00,1,2212,235,111,196,223,266,3243,
20131001,063 ,1,2,00,1,5341,166,31,0,0,367,5905,
20131001,064 ,0,1,00,1,19284,1556,1249,1113,1788,2305,27295,
20131001,064 ,0,2,00,1,56059,1853,1951,3,2,3839,63707,
20131001,064 ,1,1,00,1,20261,1726,1594,1115,1766,2434,28896,
20131001,064 ,1,2,00,1,56532,1839,1665,1,0,3842,63879,
20131001,065 ,0,1,00,1,12514,467,248,335,344,1205,15113,
20131001,065 ,0,2,00,1,36695,573,3284,1,1,1847,42401,
20131001,065 ,1,1,00,1,15028,473,247,411,376,1340,17875,
20131001,065 ,1,2,00,1,40159,629,3208,1,1,1997,45995,
20131001,066 ,0,1,00,1,3940,373,227,195,244,518,5497,
20131001,066 ,0,2,00,1,9905,361,131,1,0,698,11096,
20131001,066 ,1,1,00,1,3440,339,210,153,132,482,4756,
