집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20140702,011 ,0,1,00,1,17717,1190,812,1015,2131,2512,25377,
20140702,011 ,0,2,00,1,40771,1269,541,1,0,3392,45974,
20140702,011 ,1,1,00,1,19078,1076,1163,1112,2299,2707,27435,
20140702,011 ,1,2,00,1,41965,1318,560,0,0,3399,47242,
20140702,012 ,0,1,00,1,208,10,9,9,21,22,279,
20140702,012 ,0,2,00,1,301,4,2,0,0,15,322,
20140702,012 ,1,1,00,1,236,8,7,6,18,17,292,
20140702,012 ,1,2,00,1,285,2,0,0,0,15,302,
20140702,013 ,0,1,00,1,714,66,51,49,118,51,1049,
20140702,013 ,0,2,00,1,723,22,18,0,0,28,791,
20140702,013 ,1,1,00,1,715,60,54,50,120,55,1054,
20140702,013 ,1,2,00,1,765,22,20,1,0,22,830,
20140702,053 ,0,1,00,1,8363,445,391,453,1445,1028,12125,
20140702,053 ,0,2,00,1,20582,495,584,0,0,1537,23198,
20140702,053 ,1,1,00,1,7884,398,400,391,928,940,10941,
20140702,053 ,1,2,00,1,18976,404,618,0,0,1379,21377,
20140702,056 ,0,1,00,1,301,15,8,17,22,23,386,
20140702,056 ,0,2,00,1,280,7,5,0,0,12,304,
20140702,056 ,1,1,00,1,285,16,19,6,15,20,361,
20140702,056 ,1,2,00,1,231,11,5,0,0,11,258,
20140702,061 ,0,1,00,1,15968,1492,1912,1541,1718,1805,24436,
20140702,061 ,0,2,00,1,49871,1874,1057,1,1,3139,55943,
20140702,061 ,1,1,00,1,14373,1388,1603,2355,2048,1585,23352,
20140702,061 ,1,2,00,1,46671,1756,1034,1,1,2977,52440,
20140702,062 ,0,1,00,1,24662,2094,3098,2121,2175,2927,37077,
20140702,062 ,0,2,00,1,56922,2364,719,0,2,3733,63740,
20140702,062 ,1,1,00,1,22678,2036,2497,3012,2478,2829,35530,
20140702,062 ,1,2,00,1,57175,2212,741,0,2,3730,63860,
20140702,063 ,0,1,00,1,2500,167,146,608,287,317,4025,
20140702,063 ,0,2,00,1,6887,193,15,0,0,496,7591,
20140702,063 ,1,1,00,1,2005,138,107,139,209,264,2862,
20140702,063 ,1,2,00,1,5178,172,14,0,0,421,5785,
20140702,064 ,0,1,00,1,17909,1263,1112,1065,1942,2186,25477,
20140702,064 ,0,2,00,1,56818,1713,1459,0,0,3856,63846,
20140702,064 ,1,1,00,1,18994,1438,1559,1072,1806,2368,27237,
20140702,064 ,1,2,00,1,57461,1735,1326,0,0,3812,64334,
20140702,065 ,0,1,00,1,12178,389,295,224,237,1238,14561,
20140702,065 ,0,2,00,1,36924,514,3017,1,1,1832,42289,
20140702,065 ,1,1,00,1,13688,427,227,225,204,1280,16051,
20140702,065 ,1,2,00,1,39805,546,2945,1,0,2033,45330,
20140702,066 ,0,1,00,1,3917,334,219,169,162,477,5278,
