집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20120201,011 ,0,1,00,1,17601,1510,650,944,1595,2095,24395,
20120201,011 ,0,2,00,1,31217,893,468,0,8,2067,34653,
20120201,011 ,1,1,00,1,17881,1569,720,956,1675,2101,24902,
20120201,011 ,1,2,00,1,31329,929,488,0,0,2151,34897,
20120201,053 ,0,1,00,1,7765,508,281,345,699,857,10455,
20120201,053 ,0,2,00,1,15332,307,527,0,0,993,17159,
20120201,053 ,1,1,00,1,7340,523,307,290,578,852,9890,
20120201,053 ,1,2,00,1,14604,286,523,0,4,863,16280,
20120201,056 ,0,1,00,1,309,14,6,8,34,18,389,
20120201,056 ,0,2,00,1,219,3,0,0,0,8,230,
20120201,056 ,1,1,00,1,251,10,4,5,20,20,310,
20120201,056 ,1,2,00,1,195,4,1,0,0,6,206,
20120201,061 ,0,1,00,1,12343,1463,1465,898,735,1178,18082,
20120201,061 ,0,2,00,1,31272,1339,979,1,0,1719,35310,
20120201,061 ,1,1,00,1,11263,1444,1235,1043,824,1045,16854,
20120201,061 ,1,2,00,1,29547,1252,985,1,5,1615,33405,
20120201,062 ,0,1,00,1,17860,2488,1768,1396,945,1736,26193,
20120201,062 ,0,2,00,1,33202,1550,742,3,1,1817,37315,
20120201,062 ,1,1,00,1,17064,2215,1657,1458,1064,1709,25167,
20120201,062 ,1,2,00,1,33822,1468,747,2,2,1831,37872,
20120201,063 ,0,1,00,1,2125,180,108,119,177,196,2905,
20120201,063 ,0,2,00,1,4113,124,16,0,0,247,4500,
20120201,063 ,1,1,00,1,1682,175,71,118,191,174,2411,
20120201,063 ,1,2,00,1,3360,115,16,0,0,202,3693,
20120201,064 ,0,1,00,1,14671,1463,1363,620,662,1494,20273,
20120201,064 ,0,2,00,1,37774,1225,886,1,1,2270,42157,
20120201,064 ,1,1,00,1,15384,1548,1272,638,750,1653,21245,
20120201,064 ,1,2,00,1,38062,1276,1178,1,2,2247,42766,
20120201,065 ,0,1,00,1,10466,452,213,277,126,924,12458,
20120201,065 ,0,2,00,1,25946,421,3008,2,0,1099,30476,
20120201,065 ,1,1,00,1,11748,461,209,302,104,966,13790,
20120201,065 ,1,2,00,1,28522,454,2965,2,0,1155,33098,
20120201,066 ,0,1,00,1,2734,224,145,121,48,302,3574,
20120201,066 ,0,2,00,1,6116,224,94,1,0,343,6778,
20120201,066 ,1,1,00,1,2415,167,123,114,43,235,3097,
20120201,066 ,1,2,00,1,5294,171,86,0,0,266,5817,
20120201,067 ,0,1,00,1,13849,1331,1301,1152,958,1402,19993,
20120201,067 ,0,2,00,1,30713,1181,692,0,0,1715,34301,
20120201,067 ,1,1,00,1,13765,1657,1136,1214,1189,1501,20462,
20120201,067 ,1,2,00,1,31481,1162,676,2,33,1776,35130,
20120201,068 ,0,1,00,1,17820,2083,1435,1173,1389,1882,25782,
20120201,068 ,0,2,00,1,36559,1380,653,0,8,2179,40779,
20120201,068 ,1,1,00,1,18141,1827,1459,1173,1391,1935,25926,
20120201,068 ,1,2,00,1,36531,1337,729,0,1,2115,40713,
20120201,069 ,0,1,00,1,567,8,0,1,0,46,622,
20120201,069 ,0,2,00,1,1444,11,9,0,0,63,1527,
20120201,069 ,1,1,00,1,899,4,0,0,0,86,989,
