집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20100220,541 ,0,2,00,0,1981,85,19,0,0,60,2145,
20100220,541 ,1,1,00,0,2740,379,223,293,241,158,4034,
20100220,541 ,1,2,00,0,1902,96,12,0,0,55,2065,
20100220,542 ,0,1,00,0,2470,395,213,283,234,87,3682,
20100220,542 ,0,2,00,0,2036,64,51,0,0,65,2216,
20100220,542 ,1,1,00,0,2378,371,219,225,271,113,3577,
20100220,542 ,1,2,00,0,1912,49,61,0,0,50,2072,
20100220,543 ,0,1,00,0,2618,397,202,262,482,104,4065,
20100220,543 ,0,2,00,0,2175,97,21,0,0,83,2376,
20100220,543 ,1,1,00,0,2503,370,244,295,458,137,4007,
20100220,543 ,1,2,00,0,1984,85,27,0,0,82,2178,
20100220,544 ,0,1,00,0,2279,181,96,104,369,56,3085,
20100220,544 ,0,2,00,0,1187,11,73,0,0,25,1296,
20100220,544 ,1,1,00,0,2302,192,107,194,349,104,3248,
20100220,544 ,1,2,00,0,1266,12,75,0,0,24,1377,
20100220,545 ,0,1,00,0,1706,74,33,31,67,48,1959,
20100220,545 ,0,2,00,0,785,5,87,0,0,9,886,
20100220,545 ,1,1,00,0,1707,81,42,32,84,81,2027,
20100220,545 ,1,2,00,0,834,8,87,0,0,13,942,
20100220,546 ,0,1,00,0,636,26,20,6,19,13,720,
20100220,546 ,0,2,00,0,354,4,18,0,0,3,379,
20100220,546 ,1,1,00,0,789,26,23,11,7,31,887,
20100220,546 ,1,2,00,0,403,3,16,0,0,3,425,
20100220,547 ,0,1,00,0,268,12,10,6,0,4,300,
20100220,547 ,0,2,00,0,165,1,14,0,0,1,181,
20100220,547 ,1,1,00,0,432,12,11,3,1,12,471,
20100220,547 ,1,2,00,0,198,3,12,0,0,1,214,
20100220,548 ,0,1,00,0,872,47,20,35,36,9,1019,
20100220,548 ,0,2,00,0,416,3,7,0,0,7,433,
20100220,548 ,1,1,00,0,1045,44,27,40,42,30,1228,
20100220,548 ,1,2,00,0,426,3,6,0,0,4,439,
20100220,549 ,0,1,00,0,1094,58,26,31,51,34,1294,
20100220,549 ,0,2,00,0,860,8,24,0,0,16,908,
20100220,549 ,1,1,00,0,1170,56,34,30,51,40,1381,
20100220,549 ,1,2,00,0,787,5,23,0,0,20,835,
20100220,550 ,0,1,00,0,296,18,5,5,35,8,367,
20100220,550 ,0,2,00,0,234,1,4,0,0,5,244,
20100220,550 ,1,1,00,0,343,25,6,7,24,10,415,
20100220,550 ,1,2,00,0,251,0,3,0,0,5,259,
20100220,551 ,0,1,00,0,402,27,10,22,11,8,480,
20100220,551 ,0,2,00,0,298,2,7,0,0,2,309,
20100220,551 ,1,1,00,0,562,33,10,24,24,18,671,
20100220,551 ,1,2,00,0,362,4,7,0,0,3,376,
20100220,552 ,0,1,00,0,169,16,10,2,6,4,207,
20100220,552 ,0,2,00,0,92,4,0,0,0,3,99,
20100220,552 ,1,1,00,0,232,20,6,3,4,4,269,
20100220,552 ,1,2,00,0,125,2,1,0,0,4,132,
20100220,553 ,0,1,00,0,7566,248,158,115,172,167,8426,
20100220,553 ,0,2,00,0,3819,43,167,0,0,59,4088,
20100220,553 ,1,1,00,0,7462,199,109,137,173,267,8347,
20100220,553 ,1,2,00,0,3795,49,166,0,0,62,4072,
20100220,554 ,0,1,00,0,3031,59,56,27,13,79,3265,
20100220,554 ,0,2,00,0,1727,5,236,0,0,40,2008,
20100220,554 ,1,1,00,0,4336,62,66,21,19,170,4674,
20100220,554 ,1,2,00,0,2713,12,160,0,0,50,2935,
20100220,555 ,0,1,00,0,1213,250,162,131,132,32,1920,
