집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20100101,011 ,0,1,00,1,28002,440,151,291,154,1785,30823,
20100101,011 ,0,2,00,1,15511,138,376,0,0,485,16510,
20100101,011 ,1,1,00,1,28975,456,166,321,206,1906,32030,
20100101,011 ,1,2,00,1,16087,151,392,0,0,545,17175,
20100101,053 ,0,1,00,1,16100,148,75,110,152,879,17464,
20100101,053 ,0,2,00,1,10293,51,730,0,0,280,11354,
20100101,053 ,1,1,00,1,16221,114,96,117,141,917,17606,
20100101,053 ,1,2,00,1,10178,40,660,0,0,286,11164,
20100101,056 ,0,1,00,1,340,4,3,0,0,8,355,
20100101,056 ,0,2,00,1,82,2,1,0,0,0,85,
20100101,056 ,1,1,00,1,286,2,3,3,1,12,307,
20100101,056 ,1,2,00,1,67,2,1,0,0,1,71,
20100101,061 ,0,1,00,1,28290,441,327,232,144,1529,30963,
20100101,061 ,0,2,00,1,21919,236,1128,0,0,606,23889,
20100101,061 ,1,1,00,1,27064,479,284,255,152,1495,29729,
20100101,061 ,1,2,00,1,21636,207,1050,0,0,564,23457,
20100101,062 ,0,1,00,1,45406,795,356,253,140,2423,49373,
20100101,062 ,0,2,00,1,27697,314,817,0,0,667,29495,
20100101,062 ,1,1,00,1,38885,665,404,377,112,2113,42556,
20100101,062 ,1,2,00,1,25607,249,842,0,0,690,27388,
20100101,063 ,0,1,00,1,4144,46,33,10,13,187,4433,
20100101,063 ,0,2,00,1,2389,18,15,0,0,69,2491,
20100101,063 ,1,1,00,1,2899,47,28,23,14,154,3165,
20100101,063 ,1,2,00,1,1852,17,19,0,0,57,1945,
20100101,064 ,0,1,00,1,34809,497,220,144,146,1916,37732,
20100101,064 ,0,2,00,1,26133,191,1294,0,0,727,28345,
20100101,064 ,1,1,00,1,33007,454,188,138,131,1835,35753,
20100101,064 ,1,2,00,1,23648,193,1144,0,0,701,25686,
20100101,065 ,0,1,00,1,17194,125,56,140,35,703,18253,
20100101,065 ,0,2,00,1,13468,66,1634,0,0,293,15461,
20100101,065 ,1,1,00,1,17979,157,84,157,33,701,19111,
20100101,065 ,1,2,00,1,14464,73,1651,0,0,294,16482,
20100101,066 ,0,1,00,1,6024,91,20,31,17,309,6492,
20100101,066 ,0,2,00,1,4623,40,108,0,0,110,4881,
20100101,066 ,1,1,00,1,6936,92,19,16,16,346,7425,
20100101,066 ,1,2,00,1,5300,42,106,0,0,127,5575,
20100101,067 ,0,1,00,1,33134,429,219,163,144,1863,35952,
20100101,067 ,0,2,00,1,22843,209,572,0,0,624,24248,
20100101,067 ,1,1,00,1,29864,430,182,234,160,1702,32572,
20100101,067 ,1,2,00,1,20946,165,654,0,0,621,22386,
20100101,068 ,0,1,00,1,36348,529,224,265,208,2194,39768,
20100101,068 ,0,2,00,1,24841,164,514,0,0,694,26213,
20100101,068 ,1,1,00,1,37748,536,246,270,207,2245,41252,
20100101,068 ,1,2,00,1,25085,171,575,0,0,698,26529,
20100101,069 ,0,1,00,1,753,3,0,0,0,46,802,
