집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20140401,011 ,0,1,00,1,18290,1262,849,1146,2274,2614,26435,
20140401,011 ,0,2,00,1,40444,1248,611,0,0,3176,45479,
20140401,011 ,1,1,00,1,19365,1155,1219,1265,2304,2596,27904,
20140401,011 ,1,2,00,1,41657,1274,614,0,0,3252,46797,
20140401,012 ,0,1,00,1,304,12,12,14,8,35,385,
20140401,012 ,0,2,00,1,391,6,5,0,0,14,416,
20140401,012 ,1,1,00,1,326,2,8,13,12,30,391,
20140401,012 ,1,2,00,1,366,2,7,0,0,14,389,
20140401,013 ,0,1,00,1,848,64,69,98,171,42,1292,
20140401,013 ,0,2,00,1,803,15,58,0,0,24,900,
20140401,013 ,1,1,00,1,832,66,57,81,187,54,1277,
20140401,013 ,1,2,00,1,799,19,53,0,0,28,899,
20140401,053 ,0,1,00,1,8436,497,391,445,1526,1139,12434,
20140401,053 ,0,2,00,1,20064,495,603,0,0,1434,22596,
20140401,053 ,1,1,00,1,7832,426,431,399,980,1032,11100,
20140401,053 ,1,2,00,1,18584,410,615,0,4,1337,20950,
20140401,056 ,0,1,00,1,363,19,18,13,39,31,483,
20140401,056 ,0,2,00,1,339,8,7,0,0,14,368,
20140401,056 ,1,1,00,1,318,20,15,8,29,28,418,
20140401,056 ,1,2,00,1,291,11,6,0,0,14,322,
20140401,061 ,0,1,00,1,16146,1556,1923,1210,1801,1859,24495,
20140401,061 ,0,2,00,1,49651,1888,1238,2,2,3138,55919,
20140401,061 ,1,1,00,1,14431,1388,1570,2249,2170,1680,23488,
20140401,061 ,1,2,00,1,45694,1822,1131,0,0,2836,51483,
20140401,062 ,0,1,00,1,25174,2283,3083,2503,2229,2917,38189,
20140401,062 ,0,2,00,1,54781,2294,809,1,0,3539,61424,
20140401,062 ,1,1,00,1,22591,2033,2568,2882,2354,2676,35104,
20140401,062 ,1,2,00,1,54678,2142,840,2,0,3598,61260,
20140401,063 ,0,1,00,1,2543,191,175,185,291,320,3705,
20140401,063 ,0,2,00,1,6652,166,32,0,0,495,7345,
20140401,063 ,1,1,00,1,2003,149,110,131,280,248,2921,
20140401,063 ,1,2,00,1,5001,132,27,0,0,362,5522,
