집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20130201,011 ,0,1,00,1,18906,1328,577,998,1446,2531,25786,
20130201,011 ,0,2,00,1,37099,964,518,0,1,2855,41437,
20130201,011 ,1,1,00,1,19928,1018,545,1118,1445,2480,26534,
20130201,011 ,1,2,00,1,36748,939,536,0,0,2790,41013,
20130201,012 ,0,1,00,1,172,4,2,0,7,13,198,
20130201,012 ,0,2,00,1,174,7,3,0,0,4,188,
20130201,012 ,1,1,00,1,170,7,2,5,2,11,197,
20130201,012 ,1,2,00,1,152,3,1,0,0,6,162,
20130201,013 ,0,1,00,1,602,42,49,45,94,32,864,
20130201,013 ,0,2,00,1,497,15,14,0,0,18,544,
20130201,013 ,1,1,00,1,602,39,51,47,111,29,879,
20130201,013 ,1,2,00,1,6,0,0,0,0,0,6,
20130201,053 ,0,1,00,1,9301,499,355,471,795,1090,12511,
20130201,053 ,0,2,00,1,19940,453,740,0,0,1442,22575,
20130201,053 ,1,1,00,1,8737,249,189,347,764,983,11269,
20130201,053 ,1,2,00,1,18224,371,681,0,0,1321,20597,
20130201,056 ,0,1,00,1,320,19,19,10,17,26,411,
20130201,056 ,0,2,00,1,247,2,6,0,0,5,260,
20130201,056 ,1,1,00,1,277,18,11,8,9,19,342,
20130201,056 ,1,2,00,1,201,9,1,0,0,6,217,
20130201,061 ,0,1,00,1,16069,1423,1473,1021,858,1842,22686,
20130201,061 ,0,2,00,1,43352,1493,1039,1,0,2697,48582,
20130201,061 ,1,1,00,1,14938,1450,1222,1216,965,1654,21445,
20130201,061 ,1,2,00,1,42009,1436,1024,1,1,2620,47091,
20130201,062 ,0,1,00,1,27197,2110,2443,1592,1143,2922,37407,
20130201,062 ,0,2,00,1,48858,1811,676,0,4,2960,54309,
20130201,062 ,1,1,00,1,23186,1726,2313,1753,1322,2553,32853,
20130201,062 ,1,2,00,1,49979,1695,730,0,2,3097,55503,
20130201,063 ,0,1,00,1,2674,215,119,138,156,305,3607,
20130201,063 ,0,2,00,1,6109,138,34,0,0,443,6724,
20130201,063 ,1,1,00,1,1968,185,100,118,134,223,2728,
20130201,063 ,1,2,00,1,4499,125,10,0,0,344,4978,
20130201,064 ,0,1,00,1,18676,1324,1043,754,774,2226,24797,
20130201,064 ,0,2,00,1,51159,1482,1630,3,4,3424,57702,
20130201,064 ,1,1,00,1,19293,1373,1241,767,843,2247,25764,
20130201,064 ,1,2,00,1,50906,1499,1448,0,24,3367,57244,
